Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
58564446,Robust Python,Patrick Viafore,"Viafore, Patrick",,"=""109810062X""","=""9781098100629""",0,4.32,O'Reilly Media,Kindle Edition,600,2021,,,2022/03/12,currently-reading,currently-reading (#202),currently-reading,,,,1,0
55051661,"Genius Makers: The Mavericks Who Brought AI to Google, Facebook, and the World",Cade Metz,"Metz, Cade",,"=""""","=""""",0,4.27,Dutton,Kindle Edition,382,2021,,,2022/06/28,currently-reading,currently-reading (#239),currently-reading,,,,1,0
59770860,"The 4 Minute Millionaire: 44 Lessons to Rethink Money, Invest Wisely, and Grow Wealthy in 4 Minutes a Day",Niklas Göke,"Göke, Niklas",,"=""3949824006""","=""9783949824005""",0,4.08,,Kindle Edition,209,2021,,,2022/06/20,currently-reading,currently-reading (#238),currently-reading,,,,1,0
19306683,How to Save an Hour Every Day,Michael Heppell,"Heppell, Michael",,"=""""","=""""",0,3.73,Pearson,Kindle Edition,194,2012,2011,,2022/06/20,currently-reading,currently-reading (#237),currently-reading,,,,1,0
60847096,"Leading With Your Life Equation: How to be Indestructible, Indispensable & Unstoppable",Philip Jalufka,"Jalufka, Philip",,"=""""","=""""",0,4.80,Tom Ball Press,Kindle Edition,0,2022,,,2022/04/19,currently-reading,currently-reading (#225),currently-reading,,,,1,0
59660671,Building a Second Brain: A Proven Method to Organize Your Digital Life and Unlock Your Creative Potential,Tiago Forte,"Forte, Tiago",,"=""""","=""""",0,4.07,Atria Books,Kindle Edition,269,2022,2022,,2022/06/15,currently-reading,currently-reading (#236),currently-reading,,,,1,0
52141574,"The Blockchain Developer: A Practical Guide for Designing, Implementing, Publishing, Testing, and Securing Distributed Blockchain-based Projects",Elad Elrom,"Elrom, Elad",,"=""1484248473""","=""9781484248478""",0,4.00,Apress,Kindle Edition,532,2019,,,2022/06/03,currently-reading,currently-reading (#235),currently-reading,,,,1,0
56047563,Learn Blockchain by Building One: A Concise Path to Understanding Cryptocurrencies,Daniel Van Flymen,"Flymen, Daniel Van",,"=""1484251717""","=""9781484251713""",0,3.89,Apress,Kindle Edition,204,2020,,,2022/05/24,currently-reading,currently-reading (#234),currently-reading,,,,1,0
61085348,The Beginner's Guide to Cryptocurrency and Blockchain,Karin Van Eeden,"Eeden, Karin Van",,"=""""","=""""",0,0.0,,Kindle Edition,190,2022,,,2022/05/13,currently-reading,currently-reading (#233),currently-reading,,,,1,0
40269681,Zeroes,Chuck Wendig,"Wendig, Chuck",,"=""""","=""""",0,3.64,Harper Voyager; Reprint edition,Kindle Edition,437,2015,2015,,2022/05/05,currently-reading,currently-reading (#232),currently-reading,,,,1,0
60753584,Hidden Games: The Surprising Power of Game Theory to Explain Irrational Human Behavior,Erez Yoeli,"Yoeli, Erez",Moshe Hoffman,"=""1541619463""","=""9781541619463""",0,3.65,Basic Books,Kindle Edition,379,2022,,,2022/05/05,currently-reading,currently-reading (#231),currently-reading,,,,1,0
55938061,Chasing the Lion: A Garrett Sinclair Novel,Anthony J. Tata,"Tata, Anthony J.",,"=""""","=""""",0,3.91,St. Martin's Press,Kindle Edition,346,2021,2021,,2022/04/30,currently-reading,currently-reading (#230),currently-reading,,,,1,0
53604971,Agent Sonya: Moscow's Most Daring Wartime Spy,Ben Macintyre,"Macintyre, Ben",,"=""""","=""""",0,4.16,Crown,Kindle Edition,362,2020,2020,,2022/04/30,currently-reading,currently-reading (#229),currently-reading,,,,1,0
41433221,Effective Cybersecurity: A Guide to Using Best Practices and Standards,William Stallings,"Stallings, William",,"=""0134772954""","=""9780134772950""",0,4.36,Addison-Wesley Professional,Kindle Edition,1565,2018,,,2022/04/30,currently-reading,currently-reading (#228),currently-reading,,,,1,0
50065705,Sizing People Up: A Veteran FBI Agent's User Manual for Behavior Prediction,Robin Dreeke,"Dreeke, Robin",Cameron Stauth,"=""052554044X""","=""9780525540441""",0,3.32,Portfolio,Kindle Edition,272,2020,,,2022/04/28,currently-reading,currently-reading (#227),currently-reading,,,,1,0
57698932,TLS Mastery: Beastie Edition (IT Mastery),Michael W. Lucas,"Lucas, Michael W.",,"=""""","=""""",0,4.20,Tilted Windmill Press,Kindle Edition,253,2021,,,2022/04/19,currently-reading,currently-reading (#226),currently-reading,,,,1,0
46140338,Fundamentals of Smart Contract Security,Richard Ma,"Ma, Richard","Jan Gorzny, Edward Zulkoski, Kacper Bak, Olga V. Mack","=""1949449378""","=""9781949449372""",0,3.57,Momentum Press,Kindle Edition,189,2019,,,2022/04/17,currently-reading,currently-reading (#224),currently-reading,,,,1,0
